id;name;description;price;stock_quantity;image_url;is_active;category_id
1;ha lest whoa;inasmuch;4793.89;1544;among how sometimes;true;1
2;gah;only;646.9;29609;disadvantage naturally;true;2
3;yahoo whoever before;shakily;26893.4;18579;um;false;3
4;bob;gullible as second-hand;12701.67;11556;athwart;true;4
5;voluntarily against;before;25776.75;25066;fold frankly;true;5
6;subexpression;uncommon failing;21488.35;7824;plan hunger;true;6
7;bus boiling pointless;usefully certainly;17018.52;2394;boo;false;7
8;through warp ugh;overcooked astride below;826.18;9841;welcome;false;8
9;aw handful;certification gee merrily;18043.96;412;by verbally;false;9
10;coordination miscalculate;minus between always;14873.61;22373;scientific;false;10
